entrez_gene_id	hugo_symbol
10723	SLC12A7
133923	ZNF474
9542	NRG2
6949	TCOF1
253260	RICTOR
3673	ITGA2
7746	ZSCAN9
57176	VARS2
23304	UBR2
22875	ENPP4
5314	PKHD1
57231	SNX14
2318	FLNC
57670	KIAA1549
58508	KMT2C
2990	GUSB
285989	ZNF789
51366	UBR5
4982	TNFRSF11B
23362	PSD3
5591	PRKDC
79648	MCPH1
79776	ZFHX4
92140	MTDH
169522	KCNV2
83744	ZNF484
90293	KLHL13
84159	ARID5B
2188	FANCF
92292	GLYATL1
7275	TUB
84934	RITA1
23504	RIMBP2
54893	MTMR10
51332	SPTBN5
2903	GRIN2A
6945	MLX
342510	CD300E
23347	SMCHD1
1828	DSG1
1829	DSG2
339291	LRRC30
66002	CYP4F12
5178	PEG3
57821	CCDC181
23418	CRB1
9877	ZC3H11A
2052	EPHX1
84288	EFCAB2
63976	PRDM16
4438	MSH4
84239	ATP13A4
2243	FGA
84076	TKTL2
153020	RASGEF1B
23530	NNT
340273	ABCB5
8701	DNAH11
154664	ABCA13
1364	CLDN4
3309	HSPA5
10171	RCL1
55609	ZNF280C
27287	VENTX
472	ATM
29087	THYN1
9152	SLC6A5
84680	ACCS
23130	ATG2A
120114	FAT3
41	ASIC1
64786	TBC1D15
5095	PCCA
64328	XPO4
10160	FARP1
81693	AMN
79711	IPO4
26277	TINF2
9472	AKAP6
6547	SLC8A3
8924	HERC2
440275	EIF2AK4
84894	LINGO1
55567	DNAH3
440350	NPIPB7
9093	DNAJA3
1006	CDH8
64779	MTHFSD
10749	KIF1C
9931	HELZ
5635	PRPSAP1
57332	CBX8
2194	FASN
1824	DSC2
4152	MBD1
30000	TNPO2
10147	SUGP2
148113	CILP2
79414	LRFN3
284348	LYPD5
7638	ZNF221
5536	PPP5C
23030	KDM4B
9659	PDE4DIP
8991	SELENBP1
80133	MROH9
1118	CHIT1
3633	INPP5B
55929	DMAP1
200010	SLC5A9
8543	LMO4
3785	KCNQ2
7109	TRAPPC10
84620	ST6GAL2
1134	CHRNA1
4719	NDUFS1
55825	PECR
130617	ZFAND2B
9581	PREPL
375248	ANKRD36
344658	SAMD7
2028	ENPEP
60559	SPCS3
285489	DOK7
8572	PDLIM4
56143	PCDHA5
7265	TTC1
5626	PROP1
23548	TTC33
3672	ITGA1
153562	MARVELD2
411	ARSB
51752	ERAP1
4018	LPA
9277	WDR46
5879	RAC1
7559	ZNF12
10395	DLC1
7991	TUSC3
4851	NOTCH1
10735	STAG2
660	BMX
8242	KDM5C
1787	TRDMT1
8509	NDST2
4041	LRP5
55291	PPP6R3
871	SERPINH1
121260	SLC15A4
23085	ERC1
28234	SLCO1B3
9958	USP15
716	C1S
11278	KLF12
1734	DIO2
84206	MEX3B
116285	ACSM1
115584	SLC5A11
23214	XPO6
1009	CDH11
10381	TUBB3
51168	MYO15A
92521	SPECC1
8844	KSR1
494335	MIR423
79915	ATAD5
11276	SYNRG
317719	KLHL10
6442	SGCA
55890	GPRC5C
6597	SMARCA4
10994	ILVBL
55201	MAP1S
84954	MPND
353355	ZNF233
5653	KLK6
402665	IGLON5
7728	ZNF175
10277	UBE4B
80222	TARS2
55870	ASH1L
92312	MEX3A
406977	MIR199A2
57795	BRINP2
23114	NFASC
84033	OBSCN
23334	SZT2
149473	CCDC24
115353	LRRC42
11080	DNAJB4
57580	PREX1
27304	MOCS3
7267	TTC3
57553	MICAL3
6122	RPL3
150365	MEI1
27127	SMC1B
692205	SNORD89
130827	TMEM182
64342	HS1BP3
55821	ALLC
347730	LRRTM1
7549	ZNF2
26504	CNNM4
5096	PCCB
79718	TBL1XR1
23132	RAD54L2
84836	ABHD14B
287	ANK2
57545	CC2D2A
5099	PCDH7
2121	EVC
84525	HOPX
22872	SEC31A
9879	DDX46
9604	RNF14
55781	RIOK2
1105	CHD1
9844	ELMO1
6674	SPAG1
9650	MTFR1
55357	TBC1D2
48	ACO1
10497	UNC13B
369	ARAF
56062	KLHL4
83849	SYT15
170392	OIT3
84333	PCGF5
26509	MYOF
5223	PGAM1
22897	CEP164
6653	SORL1
10062	NR1H3
143630	UBQLNL
85456	TNKS1BP1
390077	OR52N2
54972	TMEM132A
283248	RCOR2
8500	PPFIA1
56994	CHPT1
196541	METTL21C
23428	SLC7A8
10379	IRF9
8747	ADAM21
23768	FLRT2
342184	FMN1
9245	GCNT3
8925	HERC1
6650	CAPN15
54496	PRMT7
197335	WDR90
9564	BCAR1
84501	SPIRE2
201158	TVP23C
8557	TCAP
284058	KANSL1
56934	CA10
124602	KIF19
3691	ITGB4
8632	DNAH17
9625	AATK
116444	GRIN3B
5032	P2RY11
9545	RAB3D
9592	IER2
148206	ZNF714
4861	NPAS1
388567	ZNF749
22911	WDR47
343069	HNRNPCL1
2312	FLG
114771	PGLYRP3
255104	TMCO4
8289	ARID1A
200081	TXLNA
9670	IPO13
55001	TTC22
57554	LRRC7
343702	XKR7
343637	RSPO4
85319	BAGE2
7263	TST
389015	SLC9A4
4780	NFE2L2
50940	PDE11A
1290	COL5A2
54812	AFTPH
286676	ILDR1
7555	CNBP
545	ATR
53829	P2RY13
9197	SLC33A1
1977	EIF4E
9315	NREP
25929	GEMIN5
4056	LTC4S
375449	MAST4
6492	SIM1
55274	PHF10
54887	UHRF1BP1
57510	XPO5
79706	PRKRIP1
26266	SLC13A4
79161	TMEM243
89122	TRIM4
5747	PTK2
29894	CPSF1
50626	CYHR1
9355	LHX2
1384	CRAT
84726	PRRC2B
5730	PTGDS
401565	FAM166A
158381	ATP8B5P
63035	BCORL1
51311	TLR8
8481	OFD1
139604	MAGEB16
347365	ITIH6
5230	PGK1
10730	YME1L1
118461	C10orf71
54970	TTC12
54827	NXPE4
7184	HSP90B1
4666	NACA
84439	HHIPL1
23368	PPP1R13B
3714	JAG2
7249	TSC2
2622	GAS8
64149	C17orf75
51755	CDK12
8506	CNTNAP1
9229	DLGAP1
54877	ZCCHC2
28513	CDH19
284370	ZNF615
90317	ZNF616
90233	ZNF551
91181	NUP210L
3898	LAD1
1130	LYST
10000	AKT3
3151	HMGN2
84251	SGIP1
3595	IL12RB2
1827	RCAN1
5116	PCNT
64781	CERK
65059	RAPH1
29959	NRBP1
78989	COLEC11
57504	MTA3
2956	MSH6
10199	MPHOSPH10
56954	NIT2
57047	PLSCR2
25904	CNOT10
63891	RNF123
57408	LRTM1
55279	ZNF654
6189	RPS3A
9963	SLC23A1
6148	RPL23AP1
7916	PRRC2A
5558	PRIM2
79778	MICALL2
27072	VPS41
8910	SGCE
5168	ENPP2
114	ADCY8
195814	SDR16C5
57684	ZBTB26
8269	TMEM187
390083	OR56A3
11113	CIT
196385	DNAH10
3678	ITGA5
114785	MBD6
115557	ARHGEF25
9950	GOLGA5
54567	DLL4
9133	CCNB2
6124	RPL4
342096	GOLGA6A
64410	KLHL25
1428	CRYM
1066	CES1
23326	USP22
10939	AFG3L2
5275	SERPINB13
115950	ZNF653
284406	ZFP82
57348	TTYH1
56944	OLFML3
163589	TDRD5
5788	PTPRC
84886	C1orf198
2633	GBP1
85441	HELZ2
54020	SLC37A1
4175	MCM6
6508	SLC4A3
64091	POPDC2
375387	NRROS
6331	SCN5A
57205	ATP10D
6372	CXCL6
85409	NKD2
3313	HSPA9
64411	ARAP3
3113	HLA-DPA1
7922	SLC39A7
10455	ECI2
140453	MUC17
5649	RELN
7472	WNT2
168850	ZNF800
136263	SSMEM1
23072	HECW1
64951	MRPS24
222962	SLC29A4
10947	AP3M2
140803	TRPM6
29968	PSAT1
64072	CDH23
387755	INSC
7490	WT1
80829	ZFP91
932	MS4A3
154810	AMOTL1
79022	TMEM106C
8086	AAAS
6430	SRSF5
5371	PML
257629	ANKS4B
2975	GTF3C1
79903	NAA60
11060	WWP2
10164	CHST4
140775	SMCR8
54903	MKS1
27092	CACNG4
2125	EVPL
4200	ME2
284217	LAMA1
933	CD22
374928	ZNF773
353135	LCE1E
127579	DCST2
54856	GON4L
79368	FCRL2
60676	PAPPA2
23352	UBR4
91408	BTF3L4
57169	ZNFX1
140690	CTCFL
5105	PCK1
571	BACH1
1417	CRYBB3
7477	WNT7B
1285	COL4A3
22989	MYH15
3836	KPNA1
55768	NGLY1
8927	BSN
4486	MST1R
776	CACNA1D
51780	KDM3B
2196	FAT2
1008	CDH10
57583	TMEM181
4736	RPL10A
6903	TBCC
1915	EEF1A1
4199	ME1
55503	TRPV6
155054	ZNF425
26	AOC1
392636	AGMO
168417	ZNF679
640	BLK
51059	FAM135B
80185	TTI2
79803	HPS6
4892	NRAP
84569	LYZL1
29068	ZBTB44
117195	MRGPRX3
25758	KIAA1549L
143502	OR52I2
9793	CKAP5
81309	OR4C15
219988	PATL1
221092	HNRNPUL2
160762	CCDC63
23316	CUX2
79676	OGFOD2
53919	SLCO1C1
775	CACNA1C
9700	ESPL1
967	CD63
55002	TMCO3
3843	IPO5
6710	SPTB
9628	RGS6
8669	EIF3J
50506	DUOX2
653643	GOLGA6D
9640	ZNF592
55313	CPPED1
4775	NFATC3
23417	MLYCD
399687	TIAF1
388364	TMIGD1
115024	NT5C3B
2535	FZD2
284013	VMO1
8165	AKAP1
59344	ALOXE3
22878	TRAPPC8
22983	MAST1
51291	GMIP
7562	ZNF708
3991	LIPE
5676	PSG7
126205	NLRP8
388698	FLG2
127385	OR10J5
4660	PPP1R12B
93474	ZNF670
5928	RBBP4
1441	CSF3R
388579	TUBB8P11
6616	SNAP25
84969	TOX2
9962	SLC23A2
84515	MCM8
23236	PLCB1
9993	DGCR2
84700	MYO18B
64800	EFCAB6
445582	POTEE
130399	ACVR1C
841	CASP8
4133	MAP2
151295	SLC23A3
51078	THAP4
3032	HADHB
8884	SLC5A6
246243	RNASEH1
57142	RTN4
119	ADD2
27332	ZNF638
10777	ARPP21
54798	DCHS2
51166	AADAT
1259	CNGA1
389208	TMPRSS11F
26057	ANKRD17
2895	GRID2
56136	PCDHA13
2878	GPX3
3702	ITK
222698	NKAPL
717	C2
221400	TDRD6
112611	RWDD2A
28585	TRBV10-1
10457	GPNMB
23242	COBL
23167	EFR3A
78986	DUSP26
7633	ZNF79
6194	RPS6
1287	COL4A5
3423	IDS
158809	MAGEB6
58526	MID1IP1
139189	DGKK
10075	HUWE1
55906	ZC4H2
24137	KIF4A
55280	CWF19L1
10531	PITRM1
83552	MFRP
2965	GTF2H1
10059	DNM1L
57609	DIP2B
3223	HOXC6
8499	PPFIA2
4093	SMAD9
6751	SSTR1
400322	HERC2P2
161835	FSIP1
3706	ITPKA
9728	SECISBP2L
4644	MYO5A
83660	TLN2
368	ABCC6
23659	PLA2G15
2175	FANCA
5914	RARA
1659	DHX8
146956	EME1
57508	INTS2
7157	TP53
242	ALOX12B
8710	SERPINB7
100129842	ZNF737
64377	CHST8
1762	DMWD
126123	IZUMO2
10990	LILRB5
84922	FIZ1
162993	ZNF846
79961	DENND2D
163259	DENND2C
2330	FMO5
57402	S100A14
57710	KIAA1614
4139	MARK1
23436	CELA3B
3065	HDAC1
57648	KIAA1522
9204	ZMYM6
79699	ZYG11B
127428	TCEANC2
57708	MIER1
57727	NCOA5
84612	PARD6B
57473	ZNF512B
5651	TMPRSS15
94104	PAXBP1
8624	PSMG1
49854	ZBTB21
164656	TMPRSS6
26088	GGA1
57026	PDXP
90134	KCNH7
129401	NUP35
130535	KCTD18
7277	TUBA4A
1293	COL6A3
26160	IFT172
4190	MDH1
307	ANXA4
8853	ASAP2
23505	TMEM131
10721	POLQ
23122	CLASP2
25864	ABHD14A
2195	FAT1
54502	RBM47
166824	RASSF6
6932	TCF7
79770	TXNDC15
56102	PCDHGB3
23367	LARP1
27166	PRELID1
3575	IL7R
54505	DHX29
23398	PPWD1
84654	SPZ1
55084	SOBP
3097	HIVEP2
54535	CCHCR1
10447	FAM3C
135935	NOBOX
3110	MNX1
5683	PSMA2
10898	CPSF4
654463	FER1L6
7038	TG
4796	TONSL
10	NAT2
137695	TMEM68
26737	OR1L1
1056	CEL
3933	LCN1
57187	THOC2
83844	USP26
1244	ABCC2
7093	TLL2
6737	TRIM21
79339	OR51B4
283234	CCDC88B
8642	DCHS1
341152	OR2AT4
22822	PHLDA1
5048	PAFAH1B1
9862	MED24
6777	STAT5B
51009	DERL2
55808	ST6GALNAC1
2901	GRIK5
342945	ZSCAN22
2475	MTOR
1893	ECM1
22874	PLEKHA6
84196	USP48
9635	CLCA2
29775	CARD10
8398	PLA2G6
7456	WIPF1
8864	PER2
642273	FAM110C
91653	BOC
7220	TRPC1
83939	EIF2A
285382	C3orf70
3700	ITIH4
84109	QRFPR
2241	FER
56114	PCDHGA1
257218	SHPRH
286077	FAM83H
347127	SPATA31D5P
9500	MAGED1
11279	KLF8
51703	ACSL5
7439	BEST1
91683	SYT12
7761	ZNF214
80724	ACAD10
341640	FREM2
161394	SAMD15
463	ZFHX3
85445	CNTNAP4
59342	SCPEP1
54828	BCAS3
57602	USP36
10036	CHAF1A
54869	EPS8L1
80131	LRRC8E
55827	DCAF6
1580	CYP4B1
23576	DDAH1
55423	SIRPG
266747	RGL4
10109	ARPC2
63892	THADA
9378	NRXN1
50512	PODXL2
117248	GALNT15
151613	TTC14
84223	IQCG
2838	GPR15
7006	TEC
4488	MSX2
81792	ADAMTS12
80129	CCDC170
100287718	ANKRD66
5395	PMS2
1135	CHRNA2
83690	CRISPLD1
5998	RGS3
100313772	MIR548M
10529	NEBL
2074	ERCC6
221037	JMJD1C
9585	KIF20B
3832	KIF11
120406	NXPE2
493860	CCDC73
26338	OR5L2
3177	SLC29A2
144125	OR2AG1
10068	IL18BP
32	ACACB
89910	UBE3B
341359	SYT10
719	C3AR1
1638	DCT
28447	IGHV3-16
404785	POTEG
57820	CCNB1IP1
28671	TRAV13-1
58517	RBM25
79890	RIN3
79895	ATP8B4
3658	IREB2
4629	MYH11
91807	MYLK3
23322	RPGRIP1L
9611	NCOR1
91607	SLFN11
57125	PLXDC1
7283	TUBG1
162540	SPPL2C
3773	KCNJ16
80169	CTC1
54623	PAF1
342909	ZNF284
10780	ZNF234
56848	SPHK2
84258	SYT3
162963	ZNF610
653519	GPR89A
54964	C1orf56
115352	FCRL3
6402	SELL
7143	TNR
9015	TAF1A
27185	DISC1
84838	ZNF496
204	AK2
55706	NDC1
400759	GBP1P1
55614	KIF16B
128653	C20orf141
2686	GGT7
3692	EIF6
54014	BRWD1
5297	PI4KA
27124	INPP5J
10043	TOM1
9648	GCC2
27177	IL36B
9839	ZEB2
64135	IFIH1
129446	XIRP2
64859	NABP1
1286	COL4A4
26058	GIGYF2
57514	ARHGAP31
22820	COPG1
256076	COL6A5
23180	RFTN1
5290	PIK3CA
1974	EIF4A2
6047	RNF4
5981	RFC1
81608	FIP1L1
9662	CEP135
113510	HELQ
56131	PCDHB4
89848	FCHSD1
5097	PCDH1
1809	DPYSL3
79628	SH3TC2
23291	FBXW11
51301	GCNT4
9856	KIAA0319
6890	TAP1
1297	COL9A1
6671	SP4
8887	TAX1BP1
221937	FOXK1
7461	CLIP2
889	KRIT1
51666	ASB4
23039	XPO7
6383	SDC2
4957	ODF2
257019	FRMD3
1612	DAPK1
56647	BCCIP
23053	ZSWIM8
4837	NNMT
9645	MICAL2
5795	PTPRJ
51642	MRPL48
196472	FAM71C
9891	NUAK1
8531	YBX3
11226	GALNT6
715	C1R
55632	G2E3
56252	YLPM1
80031	SEMA6D
342035	GLDN
64506	CPEB1
84148	KAT8
6560	SLC12A4
1770	DNAH9
3996	LLGL1
85464	SSH2
146862	UNC45B
6360	CCL16
57636	ARHGAP23
7703	PCGF2
1236	CCR7
90799	CEP95
26040	SETBP1
2879	GPX4
23025	UNC13A
353088	ZNF429
51343	FZR1
53916	RAB4B
5673	PSG5
29128	UHRF1
1	A1BG
8394	PIP5K1A
6708	SPTA1
23013	SPEN
29937	NENF
51029	DESI2
343169	OR6F1
8317	CDC7
140732	SUN5
6493	SIM2
5316	PKNOX1
23076	RRP1B
2071	ERCC3
2820	GPD2
151050	KANSL1L
92691	TMEM169
23178	PASK
84272	YIPF4
80144	FRAS1
1456	CSNK1G3
347732	CATSPER3
26167	PCDHB5
2566	GABRG2
7957	EPM2A
3354	HTR1E
54476	RNF216
55253	TYW1
4176	MCM7
91782	CHMP7
10881	ACTL7A
10850	CCL27
54521	WDR44
768218	MIR766
2719	GPC3
7626	ZNF75D
139422	MAGEB10
7454	WAS
65267	WNK3
54821	ERCC6L
546	ATRX
79009	DDX50
8322	FZD4
160728	SLC5A8
65981	CAPRIN2
91	ACVR1B
3852	KRT5
121364	OR10A7
22864	R3HDM2
79866	BORA
2958	GTF2A2
11214	AKAP13
55028	C17orf80
55621	TRMT1
126541	OR10H4
27151	CPAMD8
7644	ZNF91
2997	GYS1
126868	MAB21L3
3608	ILF2
27097	TAF5L
7798	LUZP1
1573	CYP2J2
9139	CBFA2T2
6335	SCN9A
79840	NHEJ1
80309	SPHKAP
7881	KCNAB1
9175	MAP3K13
3913	LAMB2
22824	HSPA4L
4163	MCC
64848	YTHDC2
10605	PAIP1
140890	SREK1
4012	LNPEP
79632	FAM184A
6499	SKIV2L
4172	MCM3
25913	POT1
3757	KCNH2
340277	FAM221A
158399	ZNF483
7094	TLN1
79937	CNTNAP3
115426	UHRF2
1288	COL4A6
3547	IGSF1
8029	CUBN
51196	PLCE1
4925	NUCB2
57758	SCUBE2
2802	GOLGA3
51054	PLEKHA8P1
8798	DYRK4
22862	FNDC3A
57680	CHD8
9824	ARHGAP11A
7168	TPM1
290	ANPEP
4350	MPG
23019	CNOT1
497190	CLEC18B
5198	PFAS
58510	PRODH2
8556	CDC14A
677766	SCARNA2
9869	SETDB1
57549	IGSF9
656	BMP8B
79971	WLS
473	RERE
6714	SRC
112858	TP53RK
151556	GPR155
56171	DNAH7
388	RHOB
9540	TP53I3
54867	TMEM214
64770	CCDC14
25981	DNAH1
654254	ZNF732
54872	PIGG
56142	PCDHA6
22828	SCAF8
57492	ARID1B
203068	TUBB
222643	UNC5CL
55131	RBM28
23161	SNX13
1278	COL1A2
85444	LRRCC1
7410	VAV2
158326	FREM1
10488	CREB3
10367	MICU1
23235	SIK2
338699	ANKRD42
84233	TMEM126A
221154	MICU2
9445	ITM2B
51528	JKAMP
3728	JUP
23624	CBLC
388569	ZNF324B
80263	TRIM45
8751	ADAM15
63827	BCAN
23341	DNAJC16
57568	SIPA1L2
127544	RNF19B
1579	CYP4A11
9217	VAPB
637	BID
285195	SLC9A9
9861	PSMD6
51138	COPS4
2580	GAK
819	CAMLG
56097	PCDHGC5
9832	JAKMIP2
170690	ADAMTS16
23036	ZNF292
7455	ZAN
9031	BAZ1B
4781	NFIB
3897	L1CAM
23086	EXPH5
143903	LAYN
6833	ABCC8
847	CAT
23360	FNBP4
23193	GANAB
9376	SLC22A8
55107	ANO1
4135	MAP6
3356	HTR2A
55901	THSD1
10243	GPHN
5228	PGF
3175	ONECUT1
57407	NMRAL1
644139	PIRT
8639	AOC3
80174	DBF4B
1140	CHRNB1
247	ALOX15B
6093	ROCK1
84449	ZNF333
51079	NDUFA13
27181	SIGLEC8
91661	ZNF765
338321	NLRP9
201514	ZNF584
6566	SLC16A1
913	CD1E
1969	EPHA2
149041	RC3H1
10877	CFHR4
6726	SRP9
57829	ZP4
100527960	MROH7-TTC4
6146	RPL22
51375	SNX7
84905	ZNF341
9770	RASSF2
4661	MYT1
5332	PLCB4
128954	GAB4
54584	GNB1L
4627	MYH9
2192	FBLN1
85358	SHANK3
727851	RGPD8
9687	GREB1
7520	XRCC5
131873	COL6A6
4311	MME
10663	CXCR6
11162	NUDT6
79799	UGT2A3
685	BTC
3562	IL3
6879	TAF7
5521	PPP2R2B
2760	GM2A
5921	RASA1
84539	MCHR2
60468	BACH2
442582	STAG3L2
340359	KLHL38
57509	MTUS1
157807	CLVS1
51115	RMDN1
26301	GBGT1
389730	SPATA31A6
90167	FRMD7
80311	KLHL15
6251	RSU1
10580	SORBS1
29099	COMMD9
5426	POLE
694	BTG1
79544	OR4K1
145748	LYSMD4
23431	AP4E1
23312	DMXL2
10368	CACNG3
84166	NLRC5
314	AOC2
1213	CLTC
55036	CCDC40
5052	PRDX1
338094	FAM151A
23507	LRRC8B
81031	SLC2A10
7074	TIAM1
57466	SCAF4
7837	PXDN
57679	ALS2
114884	OSBPL10
93627	TBCK
291	SLC25A4
112574	SNX18
1393	CRHBP
85021	REPS1
221476	PI16
84626	KRBA1
29088	MRPL15
157922	CAMSAP1
8239	USP9X
4478	MSN
84632	AFAP1L2
8661	EIF3A
80351	TNKS2
9066	SYT7
8301	PICALM
55729	ATF7IP
9169	SCAF11
57522	SRGAP1
283537	SLC46A3
26153	KIF26A
28486	IGHD6-19
112487	DTD2
23002	DAAM1
366	AQP9
23162	MAPK8IP3
7284	TUFM
1339	COX6A2
147183	KRT25
3860	KRT13
1984	EIF5A
2866	GPR42
256236	NAPSB
126119	JOSD2
26121	PRPF31
81616	ACSBG2
9398	CD101
92342	METTL18
7175	TPR
5525	PPP2R5A
84065	TMEM222
128646	SIRPD
10137	RBM12
140902	R3HDML
8202	NCOA3
79954	NOL10
344558	SH3RF3
55339	WDR33
55777	MBD5
6323	SCN1A
6546	SLC8A1
23301	EHBP1
6565	SLC15A2
7029	TFDP2
79572	ATP13A3
1582	CYP8B1
788	SLC25A20
8821	INPP4B
57600	FNIP2
10720	UGT2B11
54436	SH3TC1
3937	LCP2
2502	FTH1P10
153129	SLC38A9
